round_shots,1217,323,153,186,130,77,134,112,29
round_queries,1217,2261,3825,14694,31330,68761,362202,908432,2127411
round_k,3,12,39,120,446,1351,4055,12166,36679
round_shots,1471,185,112,117,115,80,66,63,20
round_queries,1471,1665,3696,11583,34845,73040,182886,523719,1543620
round_k,4,16,49,151,456,1385,4156,12583,38590
round_shots,895,231,178,117,88,80,152,100,55
round_queries,895,1617,4450,9477,22968,63280,365560,729900,3651945
round_k,3,12,40,130,395,1202,3649,10959,33199
round_shots,1371,287,152,133,107,141,71,58,22
round_queries,1371,2009,3800,10507,25573,108993,186517,460694,1618254
round_k,3,12,39,119,386,1313,3971,11922,36778
round_shots,867,213,236,141,145,77,77,78,28
round_queries,867,1491,5900,11139,34365,65373,197351,606138,2035404
round_k,3,12,39,118,424,1281,3885,11781,36346
round_shots,1351,234,151,133,113,96,104,60,35
round_queries,1351,1638,3775,9975,29945,76704,253240,443580,2350985
round_k,3,12,37,132,399,1217,3696,11152,33585
round_shots,1205,185,235,178,132,86,80,72,59,18
round_queries,1205,555,2115,5874,13068,30358,86000,234072,580619,1600362
round_k,1,4,16,49,176,537,1625,4920,14807,44454
round_shots,1511,234,131,112,98,80,77,65,34
round_queries,1511,1638,3275,8400,23618,61040,178101,457665,2186846
round_k,3,12,37,120,381,1156,3520,10641,32159
round_shots,1565,244,140,108,104,210,124,60,28
round_queries,1565,1708,3500,8748,26312,174510,316076,463380,1985844
round_k,3,12,40,126,415,1274,3861,11597,35461
round_shots,1151,247,174,112,107,100,163,61,57
round_queries,1151,1729,4350,8400,24075,69700,345723,388753,3312441
round_k,3,12,37,112,348,1060,3186,9685,29056
round_shots,809,205,107,140,94,81,69,61,29
round_queries,809,1435,2675,10500,23970,62127,160977,430477,1860495
round_k,3,12,37,127,383,1166,3528,10692,32077
round_shots,1067,205,193,196,104,89,75,61,27
round_queries,1067,1435,4825,15484,25064,68797,187125,475129,1945107
round_k,3,12,39,120,386,1247,3894,11720,36020
round_shots,1600,209,178,152,91,95,76,133,21
round_queries,1600,1881,5518,14744,27937,88065,218956,1158829,1711101
round_k,4,15,48,153,463,1440,4356,13157,40740
round_shots,804,270,130,151,239,178,102,61,33
round_queries,804,1890,3250,11325,56643,126558,225318,411567,2009535
round_k,3,12,37,118,355,1104,3373,10136,30447
round_shots,1381,211,146,119,86,140,68,58,25
round_queries,1381,1899,4818,11781,26058,128380,188020,482966,1904375
round_k,4,16,49,151,458,1382,4163,12605,38087
round_shots,1110,281,144,105,118,84,70,63,49
round_queries,1110,1967,3600,8505,28910,62076,158690,433629,3096359
round_k,3,12,40,122,369,1133,3441,10394,31595
round_shots,1499,211,131,141,91,80,68,60,40
round_queries,1499,1477,3275,11421,22477,61200,157148,415980,2531480
round_k,3,12,40,123,382,1155,3466,10473,31643
round_shots,1514,211,124,108,91,123,92,58,19
round_queries,1514,1899,4092,10908,29029,120909,273148,518810,1539361
round_k,4,16,50,159,491,1484,4472,13493,40509
round_shots,1020,294,150,147,170,115,77,119,30
round_queries,1020,2058,3750,12495,44030,90045,181797,848589,1942290
round_k,3,12,42,129,391,1180,3565,10696,32371
round_shots,857,237,153,166,116,97,76,107,33
round_queries,857,1659,3825,13114,27724,69937,164844,702241,1956273
round_k,3,12,39,119,360,1084,3281,9844,29640
round_shots,1263,246,260,202,121,197,102,76,61
round_queries,1263,1722,5980,15150,27225,133763,216138,499396,3657865
round_k,3,11,37,112,339,1059,3285,9963,29982
round_shots,1288,284,107,113,114,97,68,59,70
round_queries,1288,1988,2675,8475,26334,67609,143684,374001,3993570
round_k,3,12,37,115,348,1056,3169,9508,28525
round_shots,1371,255,151,108,118,82,72,59,36
round_queries,1371,1785,3775,8748,29854,67322,178632,444329,2447964
round_k,3,12,40,126,410,1240,3765,11308,33999
round_shots,830,202,218,142,141,78,84,64,43
round_queries,830,1414,5014,10366,31443,52494,170268,430144,2612465
round_k,3,11,36,111,336,1013,3360,10122,30377
round_shots,1182,205,138,160,98,82,69,59,30
round_queries,1182,1435,3450,12960,24206,61910,157527,406569,1880190
round_k,3,12,40,123,377,1141,3445,10389,31336
round_shots,1208,210,131,186,166,82,88,94,32
round_queries,1208,1470,3275,15066,42662,66830,215336,697386,2177632
round_k,3,12,40,128,407,1223,3709,11282,34025
round_shots,1217,212,168,110,95,121,96,67,50
round_queries,1217,1484,4200,8250,22895,90629,217632,466521,3218950
round_k,3,12,37,120,374,1133,3481,10613,32189
round_shots,848,268,147,149,104,88,116,116,34
round_queries,848,1876,3675,12069,25688,70840,284316,852948,2292654
round_k,3,12,40,123,402,1225,3676,11238,33715
round_shots,1519,383,106,123,103,103,69,61,89
round_queries,1519,2681,2650,9225,23381,71585,144141,382775,5145179
round_k,3,12,37,113,347,1044,3137,9555,28905
round_shots,1090,276,231,110,100,90,97,60,60
round_queries,1090,1932,5313,8030,22900,63090,206125,382500,3470580
round_k,3,11,36,114,350,1062,3187,9640,28921
round_shots,1403,216,162,155,97,95,75,197,41
round_queries,1403,1512,4050,12245,23377,69255,164025,1304731,2531053
round_k,3,12,39,120,364,1093,3311,10102,30866
round_shots,1383,259,191,139,93,179,79,58,30
round_queries,1383,1813,4393,10147,24273,140515,188099,417774,1951950
round_k,3,11,36,130,392,1190,3601,10812,32532
round_shots,1110,266,133,114,117,84,117,62,37
round_queries,1110,1862,3325,9234,29133,64428,269217,432822,2374845
round_k,3,12,40,124,383,1150,3490,10559,32092
round_shots,867,268,136,154,94,200,102,67,25
round_queries,867,1876,3400,11550,24722,163000,259590,514627,1746225
round_k,3,12,37,131,407,1272,3840,11543,34924
round_shots,913,298,117,208,96,120,71,61,33
round_queries,913,2086,2925,15600,21792,82920,153289,399001,1973565
round_k,3,12,37,113,345,1079,3270,9950,29902
round_shots,1061,206,121,134,137,85,68,93,70
round_queries,1061,1442,2783,9514,29455,55335,136476,559953,3882690
round_k,3,11,35,107,325,1003,3010,9196,27733
round_shots,1026,205,104,112,99,87,83,82,55
round_queries,1026,1435,2600,8400,22869,64641,185505,551450,3354505
round_k,3,12,37,115,371,1117,3362,10122,30495
round_shots,888,198,225,102,110,90,130,105,70,20
round_queries,888,594,2025,3366,10890,29070,129090,315105,636230,1685580
round_k,1,4,16,49,161,496,1500,4544,14046,42139
round_shots,792,185,266,115,102,92,77,68,69,29
round_queries,792,555,2394,3795,10098,27508,71533,191828,586293,2265219
round_k,1,4,16,49,149,464,1410,4248,12955,39055
round_shots,1417,250,402,99,222,79,78,58,22
round_queries,1417,2250,12462,9801,67710,74971,224718,503846,1761914
round_k,4,15,49,152,474,1440,4343,13255,40043
round_shots,1151,375,232,143,93,85,76,59,52
round_queries,1151,2625,6264,11869,23529,65875,179740,421437,3424044
round_k,3,13,41,126,387,1182,3571,10739,32923
round_shots,930,224,218,155,99,115,81,68,85,33
round_queries,930,672,1962,5115,9801,34155,72495,185300,701845,2498265
round_k,1,4,16,49,148,447,1362,4128,12553,37852
round_shots,1311,388,310,187,100,85,71,63,45
round_queries,1311,2716,8370,15147,26500,70975,181263,487809,3163455
round_k,3,13,40,132,417,1276,3871,11679,35149
round_shots,1182,238,283,145,114,108,96,135,33
round_queries,1182,1666,6509,10585,25194,76356,204000,862245,1973565
round_k,3,11,36,110,353,1062,3193,9817,29902
round_shots,1443,282,258,143,113,88,95,78,64
round_queries,1443,1974,5934,10439,24747,62568,214795,545142,4216128
round_k,3,11,36,109,355,1130,3494,10675,32938
round_shots,1587,248,115,232,210,104,68,100,38
round_queries,1587,1736,2875,17400,47670,71448,140420,619500,2155018
round_k,3,12,37,113,343,1032,3097,9413,28355
round_shots,1323,220,115,155,93,82,81,103,27
round_queries,1323,1540,2875,11625,24459,66666,197721,758183,1830735
round_k,3,12,37,131,406,1220,3680,11126,33902
round_shots,1462,188,124,135,116,91,88,68,21
round_queries,1462,1692,4092,13365,34916,82537,241912,570724,1607067
round_k,4,16,49,150,453,1374,4196,12754,38263
round_shots,1167,128,276,153,121,83,262,68,59,14
round_queries,1167,384,2484,5049,12463,26311,249162,196588,511825,1095150
round_k,1,4,16,51,158,475,1445,4337,13037,39112
round_shots,1228,265,199,131,124,87,165,88,22
round_queries,1228,1855,4975,10349,31372,66381,396495,634392,1469358
round_k,3,12,39,126,381,1201,3604,10875,33394
round_shots,1556,283,219,203,302,96,71,139,20
round_queries,1556,2547,6789,20097,92714,88416,201143,1182751,1622860
round_k,4,15,49,153,460,1416,4254,13354,40571
round_shots,1243,259,167,140,88,82,69,61,29
round_queries,1243,1813,4175,11340,21560,60926,156147,415105,1852491
round_k,3,12,40,122,371,1131,3402,10411,31939
round_shots,804,225,152,135,107,110,102,163,27
round_queries,804,1575,3496,9855,23433,80190,238374,1163331,1791099
round_k,3,11,36,109,364,1168,3568,10834,33168
round_shots,859,165,215,123,106,91,113,183,71,20
round_queries,859,495,1935,4059,11130,29575,113113,555039,657957,1675660
